# Life Regenerated per second|Refills flasks |Drink Deeply |Player mod - Special |0
+# Mana Gained on kill|Grants permanent Replenishing shrine |Restore that which was lost |Player mod - Shrine |0
#% Additional Chance To Block Spells While Dual Wielding|An Arcanist's Strongbox spawns in the area |A trove of magic awaits you |Spawn - Strongbox |0
#% Additional Chance To Block Spells With Staves|An Arcanist's Strongbox spawns in the area |A trove of magic awaits you |Spawn - Strongbox |0
#% Additional Chance To Block Spells With Shields|An Arcanist's Strongbox spawns in the area |A trove of magic awaits you |Spawn - Strongbox |0
#% increased Armour|Beyond is added to the area |Two worlds collide |Map mod - League |0
#% increased Armour and Energy Shield|Spawns the unique enemies from Kaom's Cache around the darkshrine |Ancestral magic |Spawn - Special |0
#% increased Armour and Evasion|Three packs of magic monsters spawn around the darkshrine |Surprise is a problem only for the unprepared |Spawn - Monsters |0
#% increased Attack Speed|Grants permanent Acceleration shrine |Death doesn't wait |Player mod - Shrine |0
#% increased Cast Speed|All unequipped items are scoured and you are rewarded with alchemy and transmutation orbs. |All rewards have their cost |Reward - Currency |0
#% increased Cold Damage|Monsters deal (90 to 110)% extra Damage as Cold, 8% increased rarity, 15% increased quantity |No adversary in nature is more deadly than the cold |Map mod - Common |0
#% increased Critical Strike Chance|An unequipped white item in your inventory is turned into a rare |Lead turns to gold |Reward - Item Upgrade |0
#% increased Global Critical Strike Chance|An unequipped white item in your inventory is turned into a rare |Lead turns to gold |Reward - Item Upgrade |0
#% increased Critical Strike Chance for Spells|one mob drops 5 rare staves|Keeper of the stave|Unknown|0
#% increased Elemental Damage with Weapons|Dropped weapons have 20% quality |An armoury of exquisite craftsmanship |Map mod - Special |0
#% increased Evasion and Energy Shield|Invasion is added to the area |Strange foe from a strange land |Map mod - League |0
#% increased Evasion Rating|Three packs of normal monsters spawn around the darkshrine |Beware those who lie in ambush |Spawn - Monsters |0
#% increased Fire Damage|Monsters deal (90 to 110)% extra Damage as Fire, 8% increased rarity, 15% increased quantity |No force of nature holds more fear than fire |Map mod - Common |0
#% Increased Flask Charges Gained|No mana cost for skills |Power without limit |Player mod - Special |0
#% increased Flask Life Recovery Rate|A Chemist's Strongbox spawns in the area |The secrets of chemistry await you |Spawn - Strongbox |0
#% increased Flask Mana Recovery Rate|A Chemist's Strongbox spawns in the area |The secrets of chemistry await you |Spawn - Strongbox |0
#% increased Global Critical Strike Multiplier|One item in your inventory, equipped or unequipped, becomes 20% quality |Perfection |Reward - Item Upgrade |0
#% increased Light Radius|Identifies every item in your inventory |The light of reason still shines |Reward - Special |0
#% increased Lightning Damage|Monsters deal (90 to 110)% extra Damage as Lightning, 8% increased rarity, 15% increased quantity |No fury in nature is greater than that of lightning. |Map mod - Common |0
